n00004475	organism, being
n01456756	seahorse, sea horse
n01457082	snipefish, bellows fish
n01457407	shrimpfish, shrimp-fish
n01457852	trumpetfish, Aulostomus maculatus
n01458746	pellicle
n01458842	embryo, conceptus, fertilized egg
n01459791	fetus, foetus
n01460303	abortus
n01461315	spawn
n01461646	blastula, blastosphere
n01462042	blastocyst, blastodermic vessicle
n01462544	gastrula
n01462803	morula
n01464844	yolk, vitellus
n01466257	chordate
n01467336	cephalochordate
n01467804	lancelet, amphioxus
n01468238	tunicate, urochordate, urochord
n01468712	ascidian
n01469103	sea squirt
n01469723	salp, salpa
n01470145	doliolum
n01470479	larvacean
n01470733	appendicularia
n01470895	ascidian tadpole
n01471682	vertebrate, craniate
n01472303	Amniota
n01472502	amniote
n01473806	aquatic vertebrate
n01474283	jawless vertebrate, jawless fish, agnathan
n01474864	ostracoderm
n01475232	heterostracan
n01475940	anaspid
n01476418	conodont
n01477080	cyclostome
n01477525	lamprey, lamprey eel, lamper eel
n01477875	sea lamprey, Petromyzon marinus
n01478511	hagfish, hag, slime eels
n01478969	Myxine glutinosa
n01479213	eptatretus
n01479820	gnathostome
n01480106	placoderm
n01480516	cartilaginous fish, chondrichthian
n01480880	holocephalan, holocephalian
n01481331	chimaera
n01481498	rabbitfish, Chimaera monstrosa
n01482071	elasmobranch, selachian
n01482330	shark
n01483021	cow shark, six-gilled shark, Hexanchus griseus
n01483522	mackerel shark
n01483830	porbeagle, Lamna nasus
n01484097	mako, mako shark
n01484285	shortfin mako, Isurus oxyrhincus
n01484447	longfin mako, Isurus paucus
n01484562	bonito shark, blue pointed, Isurus glaucus
n01484850	great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias
n01485479	basking shark, Cetorhinus maximus
n01486010	thresher, thrasher, thresher shark, fox shark, Alopius vulpinus
n01486540	carpet shark, Orectolobus barbatus
n01486838	nurse shark, Ginglymostoma cirratum
n01487506	sand tiger, sand shark, Carcharias taurus, Odontaspis taurus
n01488038	whale shark, Rhincodon typus
n01488918	requiem shark
n01489501	bull shark, cub shark, Carcharhinus leucas
n01489709	sandbar shark, Carcharhinus plumbeus
n01489920	blacktip shark, sandbar shark, Carcharhinus limbatus
n01490112	whitetip shark, oceanic whitetip shark, white-tipped shark, Carcharinus longimanus
n01490360	dusky shark, Carcharhinus obscurus
n01490670	lemon shark, Negaprion brevirostris
n01491006	blue shark, great blue shark, Prionace glauca
n01491361	tiger shark, Galeocerdo cuvieri
n01491661	soupfin shark, soupfin, soup-fin, Galeorhinus zyopterus
n01491874	dogfish
n01492357	smooth dogfish
n01492569	smoothhound, smoothhound shark, Mustelus mustelus
n01492708	American smooth dogfish, Mustelus canis
n01492860	Florida smoothhound, Mustelus norrisi
n01493146	whitetip shark, reef whitetip shark, Triaenodon obseus
n01493541	spiny dogfish
n01493829	Atlantic spiny dogfish, Squalus acanthias
n01494041	Pacific spiny dogfish, Squalus suckleyi
n01494475	hammerhead, hammerhead shark
n01494757	smooth hammerhead, Sphyrna zygaena
n01494882	smalleye hammerhead, Sphyrna tudes
n01495006	shovelhead, bonnethead, bonnet shark, Sphyrna tiburo
n01495493	angel shark, angelfish, Squatina squatina, monkfish
n01495701	ray
n01496331	electric ray, crampfish, numbfish, torpedo
n01497118	sawfish
n01497413	smalltooth sawfish, Pristis pectinatus
n01497738	guitarfish
n01498041	stingray
n01498406	roughtail stingray, Dasyatis centroura
n01498699	butterfly ray
n01498989	eagle ray
n01499396	spotted eagle ray, spotted ray, Aetobatus narinari
n01499732	cownose ray, cow-nosed ray, Rhinoptera bonasus
n01500091	manta, manta ray, devilfish
n01500476	Atlantic manta, Manta birostris
n01500854	devil ray, Mobula hypostoma
n01501160	skate
n01501641	grey skate, gray skate, Raja batis
n01501777	little skate, Raja erinacea
n01501948	thorny skate, Raja radiata
n01502101	barndoor skate, Raja laevis
n01503061	bird
n01503976	dickeybird, dickey-bird, dickybird, dicky-bird
n01504179	fledgling, fledgeling
n01504344	nestling, baby bird
n01514668	cock
n01514752	gamecock, fighting cock
n01514859	hen
n01514926	nester
n01515078	night bird
n01515217	night raven
n01515303	bird of passage
n01516212	archaeopteryx, archeopteryx, Archaeopteryx lithographica
n01517389	archaeornis
n01517565	ratite, ratite bird, flightless bird
n01517966	carinate, carinate bird, flying bird
n01518878	ostrich, Struthio camelus
n01519563	cassowary
n01519873	emu, Dromaius novaehollandiae, Emu novaehollandiae
n01520576	kiwi, apteryx
n01521399	rhea, Rhea americana
n01521756	rhea, nandu, Pterocnemia pennata
n01522450	elephant bird, aepyornis
n01523105	moa
n01524359	passerine, passeriform bird
n01524761	nonpasserine bird
n01525720	oscine, oscine bird
n01526521	songbird, songster
n01526766	honey eater, honeysucker
n01527194	accentor
n01527347	hedge sparrow, sparrow, dunnock, Prunella modularis
n01527617	lark
n01527917	skylark, Alauda arvensis
n01528396	wagtail
n01528654	pipit, titlark, lark
n01528845	meadow pipit, Anthus pratensis
n01529672	finch
n01530439	chaffinch, Fringilla coelebs
n01530575	brambling, Fringilla montifringilla
n01531178	goldfinch, Carduelis carduelis
n01531344	linnet, lintwhite, Carduelis cannabina
n01531512	siskin, Carduelis spinus
n01531639	red siskin, Carduelis cucullata
n01531811	redpoll, Carduelis flammea
n01531971	redpoll, Carduelis hornemanni
n01532325	New World goldfinch, goldfinch, yellowbird, Spinus tristis
n01532511	pine siskin, pine finch, Spinus pinus
n01532829	house finch, linnet, Carpodacus mexicanus
n01533000	purple finch, Carpodacus purpureus
n01533339	canary, canary bird
n01533481	common canary, Serinus canaria
n01533651	serin
n01533893	crossbill, Loxia curvirostra
n01534155	bullfinch, Pyrrhula pyrrhula
n01534433	junco, snowbird
n01534582	dark-eyed junco, slate-colored junco, Junco hyemalis
n01534762	New World sparrow
n01535140	vesper sparrow, grass finch, Pooecetes gramineus
n01535469	white-throated sparrow, whitethroat, Zonotrichia albicollis
n01535690	white-crowned sparrow, Zonotrichia leucophrys
n01536035	chipping sparrow, Spizella passerina
n01536186	field sparrow, Spizella pusilla
n01536334	tree sparrow, Spizella arborea
n01536644	song sparrow, Melospiza melodia
n01536780	swamp sparrow, Melospiza georgiana
n01537134	bunting
n01537544	indigo bunting, indigo finch, indigo bird, Passerina cyanea
n01537895	ortolan, ortolan bunting, Emberiza hortulana
n01538059	reed bunting, Emberiza schoeniclus
n01538200	yellowhammer, yellow bunting, Emberiza citrinella
n01538362	yellow-breasted bunting, Emberiza aureola
n01538630	snow bunting, snowbird, snowflake, Plectrophenax nivalis
n01538955	honeycreeper
n01539272	banana quit
n01539573	sparrow, true sparrow
n01539925	English sparrow, house sparrow, Passer domesticus
n01540090	tree sparrow, Passer montanus
n01540233	grosbeak, grossbeak
n01540566	evening grosbeak, Hesperiphona vespertina
n01540832	hawfinch, Coccothraustes coccothraustes
n01541102	pine grosbeak, Pinicola enucleator
n01541386	cardinal, cardinal grosbeak, Richmondena Cardinalis, Cardinalis cardinalis, redbird
n01541760	pyrrhuloxia, Pyrrhuloxia sinuata
n01541922	towhee
n01542168	chewink, cheewink, Pipilo erythrophthalmus
n01542433	green-tailed towhee, Chlorura chlorura
n01542786	weaver, weaverbird, weaver finch
n01543175	baya, Ploceus philippinus
n01543383	whydah, whidah, widow bird
n01543632	Java sparrow, Java finch, ricebird, Padda oryzivora
n01543936	avadavat, amadavat
n01544208	grassfinch, grass finch
n01544389	zebra finch, Poephila castanotis
n01544704	honeycreeper, Hawaiian honeycreeper
n01545574	lyrebird
n01546039	scrubbird, scrub-bird, scrub bird
n01546506	broadbill
n01546921	tyrannid
n01547832	New World flycatcher, flycatcher, tyrant flycatcher, tyrant bird
n01548301	kingbird, Tyrannus tyrannus
n01548492	Arkansas kingbird, western kingbird
n01548694	Cassin's kingbird, Tyrannus vociferans
n01548865	eastern kingbird
n01549053	grey kingbird, gray kingbird, petchary, Tyrannus domenicensis domenicensis
n01549430	pewee, peewee, peewit, pewit, wood pewee, Contopus virens
n01549641	western wood pewee, Contopus sordidulus
n01549886	phoebe, phoebe bird, Sayornis phoebe
n01550172	vermillion flycatcher, firebird, Pyrocephalus rubinus mexicanus
n01550761	cotinga, chatterer
n01551080	cock of the rock, Rupicola rupicola
n01551300	cock of the rock, Rupicola peruviana
n01551711	manakin
n01552034	bellbird
n01552333	umbrella bird, Cephalopterus ornatus
n01552813	ovenbird
n01553142	antbird, ant bird
n01553527	ant thrush
n01553762	ant shrike
n01554017	spotted antbird, Hylophylax naevioides
n01554448	woodhewer, woodcreeper, wood-creeper, tree creeper
n01555004	pitta
n01555305	scissortail, scissortailed flycatcher, Muscivora-forficata
n01555809	Old World flycatcher, true flycatcher, flycatcher
n01556182	spotted flycatcher, Muscicapa striata, Muscicapa grisola
n01556514	thickhead, whistler
n01557185	thrush
n01557962	missel thrush, mistle thrush, mistletoe thrush, Turdus viscivorus
n01558149	song thrush, mavis, throstle, Turdus philomelos
n01558307	fieldfare, snowbird, Turdus pilaris
n01558461	redwing, Turdus iliacus
n01558594	blackbird, merl, merle, ouzel, ousel, European blackbird, Turdus merula
n01558765	ring ouzel, ring blackbird, ring thrush, Turdus torquatus
n01558993	robin, American robin, Turdus migratorius
n01559160	clay-colored robin, Turdus greyi
n01559477	hermit thrush, Hylocichla guttata
n01559639	veery, Wilson's thrush, Hylocichla fuscescens
n01559804	wood thrush, Hylocichla mustelina
n01560105	nightingale, Luscinia megarhynchos
n01560280	thrush nightingale, Luscinia luscinia
n01560419	bulbul
n01560636	Old World chat, chat
n01560793	stonechat, Saxicola torquata
n01560935	whinchat, Saxicola rubetra
n01561181	solitaire
n01561452	redstart, redtail
n01561732	wheatear
n01562014	bluebird
n01562265	robin, redbreast, robin redbreast, Old World robin, Erithacus rubecola
n01562451	bluethroat, Erithacus svecicus
n01563128	warbler
n01563449	gnatcatcher
n01563746	kinglet
n01563945	goldcrest, golden-crested kinglet, Regulus regulus
n01564101	gold-crowned kinglet, Regulus satrata
n01564217	ruby-crowned kinglet, ruby-crowned wren, Regulus calendula
n01564394	Old World warbler, true warbler
n01564773	blackcap, Silvia atricapilla
n01564914	greater whitethroat, whitethroat, Sylvia communis
n01565078	lesser whitethroat, whitethroat, Sylvia curruca
n01565345	wood warbler, Phylloscopus sibilatrix
n01565599	sedge warbler, sedge bird, sedge wren, reedbird, Acrocephalus schoenobaenus
n01565930	wren warbler
n01566207	tailorbird, Orthotomus sutorius
n01566645	babbler, cackler
n01567133	New World warbler, wood warbler
n01567678	parula warbler, northern parula, Parula americana
n01567879	Wilson's warbler, Wilson's blackcap, Wilsonia pusilla
n01568132	flycatching warbler
n01568294	American redstart, redstart, Setophaga ruticilla
n01568720	Cape May warbler, Dendroica tigrina
n01568892	yellow warbler, golden warbler, yellowbird, Dendroica petechia
n01569060	Blackburn, Blackburnian warbler, Dendroica fusca
n01569262	Audubon's warbler, Audubon warbler, Dendroica auduboni
n01569423	myrtle warbler, myrtle bird, Dendroica coronata
n01569566	blackpoll, Dendroica striate
n01569836	New World chat, chat
n01569971	yellow-breasted chat, Icteria virens
n01570267	ovenbird, Seiurus aurocapillus
n01570421	water thrush
n01570676	yellowthroat
n01570839	common yellowthroat, Maryland yellowthroat, Geothlypis trichas
n01571410	riflebird, Ptloris paradisea
n01571904	New World oriole, American oriole, oriole
n01572328	northern oriole, Icterus galbula
n01572489	Baltimore oriole, Baltimore bird, hangbird, firebird, Icterus galbula galbula
n01572654	Bullock's oriole, Icterus galbula bullockii
n01572782	orchard oriole, Icterus spurius
n01573074	meadowlark, lark
n01573240	eastern meadowlark, Sturnella magna
n01573360	western meadowlark, Sturnella neglecta
n01573627	cacique, cazique
n01573898	bobolink, ricebird, reedbird, Dolichonyx oryzivorus
n01574045	New World blackbird, blackbird
n01574390	grackle, crow blackbird
n01574560	purple grackle, Quiscalus quiscula
n01574801	rusty blackbird, rusty grackle, Euphagus carilonus
n01575117	cowbird
n01575401	red-winged blackbird, redwing, Agelaius phoeniceus
n01575745	Old World oriole, oriole
n01576076	golden oriole, Oriolus oriolus
n01576358	fig-bird
n01576695	starling
n01577035	common starling, Sturnus vulgaris
n01577458	rose-colored starling, rose-colored pastor, Pastor sturnus, Pastor roseus
n01577659	myna, mynah, mina, minah, myna bird, mynah bird
n01577941	crested myna, Acridotheres tristis
n01578180	hill myna, Indian grackle, grackle, Gracula religiosa
n01578575	corvine bird
n01579028	crow
n01579149	American crow, Corvus brachyrhyncos
n01579260	raven, Corvus corax
n01579410	rook, Corvus frugilegus
n01579578	jackdaw, daw, Corvus monedula
n01579729	chough
n01580077	jay
n01580379	Old World jay
n01580490	common European jay, Garullus garullus
n01580772	New World jay
n01580870	blue jay, jaybird, Cyanocitta cristata
n01581166	Canada jay, grey jay, gray jay, camp robber, whisker jack, Perisoreus canadensis
n01581434	Rocky Mountain jay, Perisoreus canadensis capitalis
n01581730	nutcracker
n01581874	common nutcracker, Nucifraga caryocatactes
n01581984	Clark's nutcracker, Nucifraga columbiana
n01582220	magpie
n01582398	European magpie, Pica pica
n01582498	American magpie, Pica pica hudsonia
n01582856	Australian magpie
n01583209	butcherbird
n01583495	currawong, bell magpie
n01583828	piping crow, piping crow-shrike, Gymnorhina tibicen
n01584225	wren, jenny wren
n01584695	winter wren, Troglodytes troglodytes
n01584853	house wren, Troglodytes aedon
n01585121	marsh wren
n01585287	long-billed marsh wren, Cistothorus palustris
n01585422	sedge wren, short-billed marsh wren, Cistothorus platensis
n01585715	rock wren, Salpinctes obsoletus
n01586020	Carolina wren, Thryothorus ludovicianus
n01586374	cactus wren
n01586941	mockingbird, mocker, Mimus polyglotktos
n01587278	blue mockingbird, Melanotis caerulescens
n01587526	catbird, grey catbird, gray catbird, Dumetella carolinensis
n01587834	thrasher, mocking thrush
n01588002	brown thrasher, brown thrush, Toxostoma rufums
n01588431	New Zealand wren
n01588725	rock wren, Xenicus gilviventris
n01588996	rifleman bird, Acanthisitta chloris
n01589286	creeper, tree creeper
n01589718	brown creeper, American creeper, Certhia americana
n01589893	European creeper, Certhia familiaris
n01590220	wall creeper, tichodrome, Tichodroma muriaria
n01591005	European nuthatch, Sitta europaea
n01591123	red-breasted nuthatch, Sitta canadensis
n01591301	white-breasted nuthatch, Sitta carolinensis
n01591697	titmouse, tit
n01592084	chickadee
n01592257	black-capped chickadee, blackcap, Parus atricapillus
n01592387	tufted titmouse, Parus bicolor
n01592540	Carolina chickadee, Parus carolinensis
n01592694	blue tit, tomtit, Parus caeruleus
n01593028	bushtit, bush tit
n01593282	wren-tit, Chamaea fasciata
n01593553	verdin, Auriparus flaviceps
n01594004	fairy bluebird, bluebird
n01594372	swallow
n01594787	barn swallow, chimney swallow, Hirundo rustica
n01594968	cliff swallow, Hirundo pyrrhonota
n01595168	tree swallow, tree martin, Hirundo nigricans
n01595450	white-bellied swallow, tree swallow, Iridoprocne bicolor
n01595624	martin
n01595974	house martin, Delichon urbica
n01596273	bank martin, bank swallow, sand martin, Riparia riparia
n01596608	purple martin, Progne subis
n01597022	wood swallow, swallow shrike
n01597336	tanager
n01597737	scarlet tanager, Piranga olivacea, redbird, firebird
n01597906	western tanager, Piranga ludoviciana
n01598074	summer tanager, summer redbird, Piranga rubra
n01598271	hepatic tanager, Piranga flava hepatica
n01598588	shrike
n01598988	butcherbird
n01599159	European shrike, Lanius excubitor
n01599269	northern shrike, Lanius borealis
n01599388	white-rumped shrike, Lanius ludovicianus excubitorides
n01599556	loggerhead shrike, Lanius lucovicianus
n01599741	migrant shrike, Lanius ludovicianus migrans
n01600085	bush shrike
n01600341	black-fronted bush shrike, Chlorophoneus nigrifrons
n01600657	bowerbird, catbird
n01601068	satin bowerbird, satin bird, Ptilonorhynchus violaceus
n01601410	great bowerbird, Chlamydera nuchalis
n01601694	water ouzel, dipper
n01602080	European water ouzel, Cinclus aquaticus
n01602209	American water ouzel, Cinclus mexicanus
n01602630	vireo
n01602832	red-eyed vireo, Vireo olivaceous
n01603000	solitary vireo, Vireo solitarius
n01603152	blue-headed vireo, Vireo solitarius solitarius
n01603600	waxwing
n01603812	cedar waxwing, cedarbird, Bombycilla cedrorun
n01603953	Bohemian waxwing, Bombycilla garrulus
n01604330	bird of prey, raptor, raptorial bird
n01604968	Accipitriformes, order Accipitriformes
n01605630	hawk
n01606097	eyas
n01606177	tiercel, tercel, tercelet
n01606522	goshawk, Accipiter gentilis
n01606672	sparrow hawk, Accipiter nisus
n01606809	Cooper's hawk, blue darter, Accipiter cooperii
n01606978	chicken hawk, hen hawk
n01607309	buteonine
n01607429	redtail, red-tailed hawk, Buteo jamaicensis
